bin,mean_pred,obs_event_prob,n,abs_calib_error,model,horizon_months
"(-0.0009637000000000001, 0.154]",0.13366380299990807,0.19597772054228346,25403,0.06231391754237539,cox,36
"(0.154, 0.184]",0.1695592663995201,0.3379712903084946,25403,0.1684120239089745,cox,36
"(0.184, 0.211]",0.1978362720714516,0.47307317411258054,25403,0.27523690204112894,cox,36
"(0.211, 0.238]",0.224533285417164,0.5226143453372067,25402,0.29808105992004275,cox,36
"(0.238, 0.266]",0.25218032438209864,0.5341473054615491,25403,0.28196698107945045,cox,36
"(0.266, 0.294]",0.28054117299879383,0.6516617324659363,25403,0.37112055946714245,cox,36
"(0.294, 0.323]",0.3082558882259273,0.7114404212395795,25402,0.4031845330136522,cox,36
"(0.323, 0.357]",0.3389876797626855,0.7724192980497646,25403,0.4334316182870791,cox,36
"(0.357, 0.408]",0.3805297508590164,0.8606644264753925,25403,0.4801346756163761,cox,36
"(0.408, 1.0]",0.46496706572298985,0.8816421847559525,25403,0.4166751190329626,cox,36
