bin,mean_pred,obs_event_prob,n,abs_calib_error,model,horizon_months
"(0.0091, 0.0795]",0.05823889552349473,0.1705795831384167,25403,0.11234068761492197,rsf,24
"(0.0795, 0.105]",0.09288029900166853,0.2717862047179529,25403,0.17890590571628437,rsf,24
"(0.105, 0.127]",0.11606327653719056,0.34162593329039304,25403,0.22556265675320247,rsf,24
"(0.127, 0.15]",0.13839997385997382,0.40500059270637645,25402,0.2666006188464026,rsf,24
"(0.15, 0.174]",0.16188679000852452,0.4685333435236322,25403,0.30664655351510767,rsf,24
"(0.174, 0.199]",0.18632808206940638,0.5106652714841446,25403,0.32433718941473827,rsf,24
"(0.199, 0.227]",0.21244878511403092,0.5747717488382227,25402,0.36232296372419176,rsf,24
"(0.227, 0.262]",0.24362308036696406,0.6316013539575192,25403,0.3879782735905551,rsf,24
"(0.262, 0.315]",0.28633399914359203,0.7006458745987569,25403,0.4143118754551649,rsf,24
"(0.315, 0.605]",0.37013281012681704,0.7902253949551277,25403,0.42009258482831063,rsf,24
