feature,hazard_ratio,ci_low,ci_high,p_value,direction,abs_log_hr
grade_A,0.539117133763565,0.5329691618876752,0.5453360244859652,0.0,↓ risk,0.6178224148674991
grade_E,1.6276278399559798,1.6072484605186845,1.6482656231911021,0.0,↑ risk,0.48712364191185303
grade_B,0.7315254401567403,0.7247532343226132,0.7383609265251069,0.0,↓ risk,0.3126232810587034
grade_D,1.3100637047746113,1.2966386969740726,1.3236277110755534,0.0,↑ risk,0.2700757656296195
emp_length_Missing,1.193539530182968,1.1755263990858433,1.2118286847638482,4.329568814333223e-115,↑ risk,0.17692328747403177
home_ownership_NONE,0.84301592518666,0.49788063045576303,1.4274020852503606,0.525063457391124,↓ risk,0.17076943007133752
verification_status_Not Verified,0.8963981916406654,0.8877828195786265,0.9050971704521595,3.731565546355773e-109,↓ risk,0.1093705544149799
home_ownership_MORTGAGE,0.9037291785859404,0.8954864226818584,0.9120478072483058,5.708120306469341e-104,↓ risk,0.10122554468361865
home_ownership_RENT,1.0997812967789184,1.0896770872554569,1.109979199242507,1.0453939537969585e-90,↑ risk,0.09511133892671364
purpose_credit_card,0.9279847260963703,0.9187129448982829,0.9373500794238836,3.34139894354025e-48,↓ risk,0.07474000527926329
home_ownership_OTHER,0.9300944144335266,0.7182027408445543,1.2045005825836568,0.5827355241405285,↓ risk,0.07246917709146773
verification_status_Source Verified,1.0688333011741789,1.0592717332099646,1.0784811770979732,9.157918797865085e-48,↑ risk,0.06656768085057953
application_type_Individual,0.9402141535222648,0.864237475872454,1.0228700781474231,0.1515786052247479,↓ risk,0.06164760676975617
application_type_Joint App,1.0635874776546994,0.9776412678051443,1.157089374064098,0.15157860522478836,↑ risk,0.06164760676975009
inq_last_6mths,1.06319066892938,1.059580284558455,1.0668133552235248,4.7739569332303135e-273,↑ risk,0.06127445197637286
pub_rec,1.0444245927664313,1.0398124180117083,1.049057225207175,1.4375572439567434e-82,↑ risk,0.04346610483334765
purpose_debt_consolidation,1.0360921679270818,1.0271195806249567,1.0451431368747455,1.352267481052527e-15,↑ risk,0.035456105060705234
verification_status_Verified,1.0325803894476944,1.0231002017946136,1.042148421827792,9.567736754068612e-12,↑ risk,0.03206090185143781
home_ownership_OWN,1.0266552570634826,1.0136271035258644,1.0398508615147646,5.409858697224954e-05,↑ risk,0.026306195005766177
grade_C,1.0254767569475003,1.0162538559975844,1.034783359328343,4.821315852541855e-08,↑ risk,0.0251576331808037
emp_length_10+ years,0.9759503389228049,0.9681113963414915,0.9838527545930887,3.2919627925681316e-09,↓ risk,0.024343576114814695
emp_length_1 year,1.0184330279494682,1.0037948615556989,1.0332846601852916,0.0134081909691784,↑ risk,0.018265198950289413
emp_length_< 1 year,1.0160911487675417,1.0025959588349451,1.0297679872991696,0.01928321656106351,↑ risk,0.015963058486167508
delinq_2yrs,1.015282297387293,1.0113424727487448,1.0192374701582503,2.0815809341392554e-14,↑ risk,0.015166699328744523
purpose_major_purchase,0.9859213550938215,0.9604706553513206,1.0120464514082261,0.2879742689057482,↓ risk,0.014178689128757013
open_acc,1.0110075440028,1.0103393467170987,1.0116761832069654,4.790744438631572e-231,↑ risk,0.010947401932155994
dti,1.0049826154672856,1.0048100807367588,1.0051551798235434,0.0,↑ risk,0.004970243318924343
emp_length_2 years,0.9950490580595238,0.9824807515097942,1.0077781436670468,0.444101369586977,↓ risk,0.0049632384565392595
emp_length_3 years,1.002886956730167,0.9895741411466518,1.0163788706261698,0.6724335716924198,↑ risk,0.0028827974737254606
purpose_home_improvement,1.000926244391874,0.9849518242024318,1.0171597453750347,0.9101990758215708,↑ risk,0.0009258156922373146
purpose_other,1.0001954161644697,0.9839018357385413,1.0167588210316718,0.9813974053277538,↑ risk,0.00019539707321817034
loan_amnt,1.0000085368849543,1.000008088221613,1.0000089855484968,2.121754092615355e-304,↑ risk,8.536848515284978e-06
revol_bal,0.999997904333273,0.999997712813443,0.9999980958531397,4.925210932970272e-102,↓ risk,2.0956689229547834e-06
annual_inc,0.9999991480707908,0.9999990782835093,0.9999992178580772,1.6320870400133864e-126,↓ risk,8.519295720698766e-07
